"treeType","sequenceType","nodes","accesses","operations","time"
"Splay","bitReversal",128,128,2167,0.001
"Splay","plainRandom",32768,327680,12248038,0.808
"Splay","plainRandom",256,2560,43742,0.008
"Splay","sequential",16384,16384,79036,2.515
"Splay","sequential",32768,32768,158147,10.459
"Splay","sequential",131072,131072,632877,230.677
"Splay","sequential",256,256,1186,0.006
"Splay","sequential",8192,8192,39481,0.560
"Splay","bitReversal",1024,1024,27566,0.003
"Splay","plainRandom",1024,10240,233979,0.027
"Splay","plainRandom",524288,5242880,256942625,24.545
"Splay","bitReversal",16384,16384,660052,0.041
"Splay","sequential",524288,524288,2531815,3748.978
"Splay","sequential",4096,4096,19706,0.136
"Splay","bitReversal",524288,524288,29855747,3.021
"Splay","bitReversal",512,512,12077,0.002
"Splay","bitReversal",4096,4096,137676,0.009
"Splay","sequential",128,128,571,0.001
"Splay","plainRandom",4096,40960,1174057,0.095
"Splay","bitReversal",32768,32768,1429353,0.104
"Splay","sequential",262144,262144,1265856,1013.184
"Splay","sequential",65536,65536,316390,50.382
"Splay","plainRandom",131072,1310720,56623920,4.579
"Splay","plainRandom",2048,20480,528904,0.039
"Splay","bitReversal",2048,2048,62053,0.006
"Splay","bitReversal",8192,8192,302713,0.037
"Splay","sequential",512,512,2417,0.003
"Splay","plainRandom",512,5120,101845,0.022
"Splay","plainRandom",65536,655360,26401439,1.861
"Splay","bitReversal",65536,65536,3076762,0.223
"Splay","sequential",1024,1024,4884,0.011
"Splay","plainRandom",8192,81920,2583595,0.168
"Splay","plainRandom",262144,2621440,120861633,10.588
"Splay","bitReversal",256,256,5182,0.001
"Splay","plainRandom",1048576,10485760,544404817,47.426
"Splay","sequential",2048,2048,9819,0.040
"Splay","plainRandom",128,1280,18057,0.024
"Splay","plainRandom",16384,163840,5648898,0.421
"Splay","sequential",1048576,1048576,5063750,6516.464
"Splay","bitReversal",1048576,1048576,63208290,5.874
"Splay","bitReversal",131072,131072,6590329,0.560
"Splay","bitReversal",262144,262144,14054582,1.246
"Tango","bitReversal",128,128,7227,0.003
"Tango","sequential",65536,65536,525900,0.066
"Tango","sequential",32768,32768,262871,0.033
"Tango","sequential",128,128,948,0.001
"Tango","plainRandom",262144,2621440,451626659,52.261
"Tango","plainRandom",32768,327680,42621542,4.408
"Tango","bitReversal",1048576,1048576,346687995,34.959
"Tango","bitReversal",1024,1024,112805,0.015
"Tango","sequential",262144,262144,2104101,0.266
"Tango","bitReversal",262144,262144,74025037,8.049
"Tango","sequential",512,512,4011,0.001
"Tango","sequential",1048576,1048576,8416955,0.966
"Tango","plainRandom",524288,5242880,980111001,132.539
"Tango","plainRandom",128,1280,43377,0.104
"Tango","bitReversal",524288,524288,160565535,21.500
"Tango","sequential",8192,8192,65620,0.007
"Tango","bitReversal",65536,65536,15476423,1.588
"Tango","sequential",524288,524288,4208378,0.474
"Tango","sequential",4096,4096,32751,0.006
"Tango","plainRandom",4096,40960,3723421,0.375
"Tango","bitReversal",4096,4096,613939,0.061
"Tango","plainRandom",8192,81920,8477366,0.913
"Tango","bitReversal",2048,2048,265639,0.032
"Tango","plainRandom",16384,163840,19102260,2.009
"Tango","bitReversal",256,256,18783,0.008
"Tango","plainRandom",131072,1310720,206965964,23.365
"Tango","sequential",16384,16384,131370,0.017
"Tango","plainRandom",1024,10240,682141,0.079
"Tango","bitReversal",131072,131072,33949573,3.950
"Tango","sequential",256,256,1966,0.005
"Tango","plainRandom",2048,20480,1610001,0.192
"Tango","bitReversal",512,512,46765,0.009
"Tango","sequential",1024,1024,8113,0.001
"Tango","sequential",131072,131072,1051963,0.134
"Tango","bitReversal",8192,8192,1397961,0.182
"Tango","bitReversal",16384,16384,3145065,0.335
"Tango","plainRandom",65536,655360,94229079,9.783
"Tango","plainRandom",512,5120,284550,0.045
"Tango","bitReversal",32768,32768,7005715,0.704
"Tango","sequential",2048,2048,16318,0.003
"Tango","plainRandom",256,2560,113927,0.054
"Tango","plainRandom",1048576,10485760,2116896509,253.645
"Treap","sequential",16384,16384,134258684,0.621
"Treap","sequential",1024,1024,526844,0.004
"Treap","bitReversal",512,512,4620,0.002
"Treap","bitReversal",128,128,906,0.000
"Treap","sequential",131072,131072,8590262268,65.270
"Treap","plainRandom",65536,655360,16789220,0.440
"Treap","sequential",262144,262144,34360393724,284.815
"Treap","bitReversal",131072,131072,2228244,0.071
"Treap","plainRandom",1024,10240,180174,0.026
"Treap","plainRandom",1048576,10485760,422776759,18.110
"Treap","plainRandom",131072,1310720,34628383,1.232
"Treap","plainRandom",524288,5242880,173863178,7.713
"Treap","bitReversal",32768,32768,491538,0.008
"Treap","sequential",32768,32768,536952828,2.503
"Treap","bitReversal",1048576,1048576,20971543,1.047
"Treap","bitReversal",16384,16384,229393,0.003
"Treap","sequential",256,256,33404,0.001
"Treap","plainRandom",32768,327680,8702700,0.199
"Treap","sequential",2048,2048,2102268,0.010
"Treap","bitReversal",2048,2048,22542,0.000
"Treap","bitReversal",65536,65536,1048595,0.031
"Treap","sequential",65536,65536,2147647484,12.313
"Treap","sequential",128,128,8508,0.000
"Treap","plainRandom",16384,163840,3749386,0.064
